"Id","VirtualMenuStar","OrderingProcessStar","OnlinePaymentStar","OtherComments","UserOrderId","CreatedDate"
720,5,5,5,,9414,2021-05-13T23:32:22.289256Z
719,4,4,4,,9401,2021-05-13T19:17:29.271083Z
718,5,5,5,,9396,2021-05-13T03:41:14.205613Z
717,2,1,5,,9395,2021-05-13T03:00:44.873356Z
716,5,5,5,,9387,2021-05-12T23:50:48.069832Z
715,5,5,5,,9374,2021-05-12T16:48:39.858354Z
714,4,4,2,Credit card entry was extremely difficult on mobile device.,9340,2021-05-10T00:30:14.088598Z
713,4,5,5,,9339,2021-05-10T00:21:30.603087Z
712,5,5,5,,9337,2021-05-10T00:02:56.69293Z
711,5,5,5,No option for gluten free bun,9329,2021-05-09T23:24:40.497137Z
710,3,4,4,,9325,2021-05-09T23:11:39.942126Z
709,3,3,1,,9323,2021-05-09T23:02:53.690657Z
708,5,3,3,,9318,2021-05-09T22:47:01.245203Z
707,5,5,5,,9317,2021-05-09T22:43:51.47007Z
706,5,5,5,,9309,2021-05-09T22:20:16.639042Z
705,5,5,5,,9307,2021-05-09T22:14:26.593674Z
704,5,5,5,,9302,2021-05-09T22:10:29.71746Z
703,5,5,5,,9298,2021-05-09T22:00:56.544233Z
702,4,4,4,,9297,2021-05-09T22:00:42.490641Z
701,5,4,4,,9296,2021-05-09T21:59:40.892514Z
700,5,5,5,,9288,2021-05-09T21:19:16.846526Z
699,3,3,1,Fix credit card entry UX,9287,2021-05-09T21:16:20.71005Z
698,5,5,5,,9285,2021-05-09T21:15:37.423894Z
697,4,4,5,,9270,2021-05-09T19:34:37.758445Z
696,4,5,4,,9267,2021-05-09T19:27:23.354923Z
695,4,4,3,Should pay at the end,9265,2021-05-09T19:07:09.262916Z
694,5,5,5,,9260,2021-05-09T18:48:31.9798Z
693,4,4,4,,9258,2021-05-09T18:18:54.502221Z
692,2,4,5,More pictures of the food please,9250,2021-05-09T02:44:26.635444Z
691,5,5,5,,9249,2021-05-09T02:35:04.721203Z
690,5,5,5,,9246,2021-05-09T01:41:02.064248Z
